Periodo;StartPrice;EndPrice;ATR (14);Mean Price;Volatility;ER Medio;Min Price;Max Price
P1;"Ticker
BTC-USD    998.325012
Name: 2017-01-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    12952.200195
Name: 2017-12-30 00:00:00+00:00, dtype: float64";277.44681836343045;"Ticker
BTC-USD    3978.148006
dtype: float64";378.2643250027688;277.44681836343045;"Ticker
BTC-USD    777.757019
dtype: float64";"Ticker
BTC-USD    19497.400391
dtype: float64"
P2;"Ticker
BTC-USD    13657.200195
Name: 2018-01-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    3865.952637
Name: 2018-12-30 00:00:00+00:00, dtype: float64";445.67717938392326;"Ticker
BTC-USD    7582.819822
dtype: float64";353.3803418764817;445.67717938392326;"Ticker
BTC-USD    3236.761719
dtype: float64";"Ticker
BTC-USD    17527.0
dtype: float64"
P3;"Ticker
BTC-USD    3843.52002
Name: 2019-01-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    10784.491211
Name: 2020-09-30 00:00:00+00:00, dtype: float64";337.4428385717226;"Ticker
BTC-USD    8166.686976
dtype: float64";176.9164724538275;337.4428385717226;"Ticker
BTC-USD    3399.47168
dtype: float64";"Ticker
BTC-USD    13016.231445
dtype: float64"
P4;"Ticker
BTC-USD    10619.452148
Name: 2020-10-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    58918.832031
Name: 2021-03-31 00:00:00+00:00, dtype: float64";2025.68439336962;"Ticker
BTC-USD    30925.747725
dtype: float64";1300.809182995908;2025.68439336962;"Ticker
BTC-USD    10549.329102
dtype: float64";"Ticker
BTC-USD    61243.085938
dtype: float64"
P5;"Ticker
BTC-USD    59095.808594
Name: 2021-04-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    35040.835938
Name: 2021-06-30 00:00:00+00:00, dtype: float64";3461.4492735506205;"Ticker
BTC-USD    46497.781636
dtype: float64";650.9519423983716;3461.4492735506205;"Ticker
BTC-USD    31637.779297
dtype: float64";"Ticker
BTC-USD    63503.457031
dtype: float64"
P6;"Ticker
BTC-USD    33572.117188
Name: 2021-07-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    43790.894531
Name: 2021-09-30 00:00:00+00:00, dtype: float64";2100.51791353963;"Ticker
BTC-USD    41988.772121
dtype: float64";319.8099777422971;2100.51791353963;"Ticker
BTC-USD    29807.347656
dtype: float64";"Ticker
BTC-USD    52633.535156
dtype: float64"
P7;"Ticker
BTC-USD    48116.941406
Name: 2021-10-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    31792.310547
Name: 2022-05-31 00:00:00+00:00, dtype: float64";2156.9445414231395;"Ticker
BTC-USD    45612.764677
dtype: float64";516.2600687690034;2156.9445414231395;"Ticker
BTC-USD    28627.574219
dtype: float64";"Ticker
BTC-USD    67566.828125
dtype: float64"
P8;"Ticker
BTC-USD    29799.080078
Name: 2022-06-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    26967.916016
Name: 2023-09-30 00:00:00+00:00, dtype: float64";793.6080201870794;"Ticker
BTC-USD    23703.862178
dtype: float64";266.19000964222107;793.6080201870794;"Ticker
BTC-USD    15787.28418
dtype: float64";"Ticker
BTC-USD    31476.048828
dtype: float64"
P9;"Ticker
BTC-USD    27983.75
Name: 2023-10-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    61198.382812
Name: 2024-02-29 00:00:00+00:00, dtype: float64";1349.5838876479283;"Ticker
BTC-USD    40237.89101
dtype: float64";326.0422033679018;1349.5838876479283;"Ticker
BTC-USD    26756.798828
dtype: float64";"Ticker
BTC-USD    62504.789062
dtype: float64"
P10;"Ticker
BTC-USD    62440.632812
Name: 2024-03-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    63329.5
Name: 2024-09-30 00:00:00+00:00, dtype: float64";2725.424506836492;"Ticker
BTC-USD    63975.421729
dtype: float64";638.3705702112824;2725.424506836492;"Ticker
BTC-USD    53948.753906
dtype: float64";"Ticker
BTC-USD    73083.5
dtype: float64"
