Date;Time;Open;High;Low;Close;Volume
;;BTC-USD;BTC-USD;BTC-USD;BTC-USD;BTC-USD
2017-01-01;00:00:00;963.65802002;1003.08001709;958.69897461;998.32501221;147775008
2017-01-02;00:00:00;998.61700439;1031.39001465;996.70202637;1021.75000000;222184992
2017-01-03;00:00:00;1021.59997559;1044.07995605;1021.59997559;1043.83996582;185168000
2017-01-04;00:00:00;1044.40002441;1159.42004395;1044.40002441;1154.72998047;344945984
2017-01-05;00:00:00;1156.72998047;1191.09997559;910.41699219;1013.38000488;510199008
2017-01-06;00:00:00;1014.23999023;1046.81005859;883.94396973;902.20098877;351876000
2017-01-07;00:00:00;903.48699951;908.58502197;823.55603027;908.58502197;279550016
2017-01-08;00:00:00;908.17498779;942.72399902;887.24902344;911.19897461;158715008
2017-01-09;00:00:00;913.24401855;913.68597412;879.80700684;902.82800293;141876992
2017-01-10;00:00:00;902.44000244;914.87298584;901.05999756;907.67901611;115808000
2017-01-11;00:00:00;908.11499023;919.44799805;762.76501465;777.75701904;310928992
2017-01-12;00:00:00;775.17797852;826.24597168;755.75598145;804.83398438;222326000
2017-01-13;00:00:00;803.73699951;829.00097656;780.00299072;823.98400879;168968000
2017-01-14;00:00:00;825.14202881;835.08502197;812.45599365;818.41198730;93063296
2017-01-15;00:00:00;818.14202881;823.30700684;812.87097168;821.79797363;71013600
2017-01-16;00:00:00;821.78302002;834.53002930;820.27099609;831.53399658;82755200
2017-01-17;00:00:00;830.94598389;910.56097412;830.79602051;907.93798828;155095008
2017-01-18;00:00:00;909.37298584;917.49902344;858.30401611;886.61798096;225676992
2017-01-19;00:00:00;888.33502197;904.61401367;884.33801270;899.07299805;105625000
2017-01-20;00:00:00;898.17199707;899.39801025;887.00799561;895.02600098;86728400
2017-01-21;00:00:00;895.54901123;927.36700439;895.53497314;921.78900146;111158000
2017-01-22;00:00:00;922.20501709;937.52502441;897.56402588;924.67297363;116573000
2017-01-23;00:00:00;925.49902344;928.26599121;916.73797607;921.01202393;73588600
2017-01-24;00:00:00;910.67700195;924.14501953;892.28601074;892.68701172;111349000
2017-01-25;00:00:00;891.92401123;903.25201416;891.68701172;901.54199219;120831000
2017-01-26;00:00:00;902.39501953;919.32598877;902.22399902;917.58599854;131958000
2017-01-27;00:00:00;918.35900879;923.22302246;915.84600830;919.75000000;125594000
2017-01-28;00:00:00;919.81097412;923.91101074;919.81097412;921.59002686;68979600
2017-01-29;00:00:00;922.06701660;923.41802979;919.14801025;919.49597168;60851700
2017-01-30;00:00:00;920.15100098;923.04797363;919.47399902;920.38201904;78227296
2017-01-31;00:00:00;920.95898438;972.01898193;920.95898438;970.40301514;164582000
2017-02-01;00:00:00;970.94097900;989.11401367;970.74200439;989.02301025;150110000
2017-02-02;00:00:00;990.00097656;1013.52001953;983.22100830;1011.79998779;145820992
2017-02-03;00:00:00;1011.46002197;1033.86999512;1008.78997803;1029.91003418;201278000
2017-02-04;00:00:00;1031.32995605;1045.90002441;1015.15997314;1042.90002441;155064000
2017-02-05;00:00:00;1043.52001953;1043.63000488;1022.36999512;1027.33996582;114208000
2017-02-06;00:00:00;1028.40002441;1044.64001465;1028.16003418;1038.15002441;111762000
2017-02-07;00:00:00;1040.14001465;1061.93005371;1040.14001465;1061.34997559;146007008
2017-02-08;00:00:00;1062.31994629;1078.96997070;1037.48999023;1063.06994629;201855008
2017-02-09;00:00:00;1064.69995117;1088.98999023;953.34399414;994.38299561;407220000
2017-02-10;00:00:00;995.63201904;998.90502930;946.69097900;988.67401123;190452000
2017-02-11;00:00:00;988.89801025;1009.28997803;982.83001709;1004.45001221;102261000
2017-02-12;00:00:00;1003.52001953;1004.76000977;996.92102051;999.18103027;67530000
2017-02-13;00:00:00;998.88500977;1002.09997559;976.00201416;990.64202881;100607000
2017-02-14;00:00:00;991.73498535;1011.51000977;986.47100830;1004.54998779;137946000
2017-02-15;00:00:00;1006.21002197;1008.84002686;1001.58001709;1007.47998047;89759400
2017-02-16;00:00:00;1007.65002441;1033.36999512;1007.65002441;1027.43994141;122277000
2017-02-17;00:00:00;1026.11999512;1053.17004395;1025.64001465;1046.20996094;136474000
2017-02-18;00:00:00;1049.20996094;1061.09997559;1046.95996094;1054.42004395;99073504
2017-02-19;00:00:00;1054.76000977;1056.81005859;1043.45996094;1047.86999512;77423296
2017-02-20;00:00:00;1048.68994141;1080.48999023;1041.68994141;1079.97998047;109478000
2017-02-21;00:00:00;1079.28002930;1117.25000000;1076.93005371;1115.30004883;186868992
2017-02-22;00:00:00;1114.80004883;1125.39001465;1100.55004883;1117.43994141;136100000
2017-02-23;00:00:00;1117.27001953;1176.61999512;1116.95996094;1166.71997070;189454000
2017-02-24;00:00:00;1172.70996094;1200.39001465;1131.95996094;1173.68005371;330759008
2017-02-25;00:00:00;1170.41003418;1174.84997559;1124.58996582;1143.83996582;139960992
2017-02-26;00:00:00;1144.27001953;1167.46997070;1130.19995117;1165.19995117;116486000
2017-02-27;00:00:00;1163.78002930;1181.97998047;1163.38000488;1179.96997070;131570000
2017-02-28;00:00:00;1180.71997070;1193.25000000;1171.81994629;1179.96997070;184956000
2017-03-01;00:00:00;1180.04003906;1222.50000000;1179.68994141;1222.50000000;229056992
2017-03-02;00:00:00;1224.68005371;1262.13000488;1215.61999512;1251.01000977;368275008
2017-03-03;00:00:00;1250.70996094;1280.31005859;1250.70996094;1274.98999023;315739008
2017-03-04;00:00:00;1277.43005371;1279.40002441;1230.51000977;1255.15002441;183270000
2017-03-05;00:00:00;1254.29003906;1267.29003906;1238.06005859;1267.11999512;134127000
2017-03-06;00:00:00;1267.46997070;1276.00000000;1264.59997559;1272.82995605;153656992
2017-03-07;00:00:00;1273.20996094;1275.55004883;1204.80004883;1223.54003906;291256000
2017-03-08;00:00:00;1223.22998047;1232.16003418;1148.07995605;1150.00000000;332603008
2017-03-09;00:00:00;1150.34997559;1197.45996094;1141.22998047;1188.48999023;212283008
2017-03-10;00:00:00;1189.35998535;1270.46997070;1077.25000000;1116.71997070;563795968
2017-03-11;00:00:00;1116.31994629;1193.82995605;1116.31994629;1175.82995605;283320000
2017-03-12;00:00:00;1176.61999512;1226.97998047;1175.35998535;1221.38000488;227176000
2017-03-13;00:00:00;1221.78002930;1237.36999512;1217.03002930;1231.92004395;380276992
2017-03-14;00:00:00;1232.16003418;1244.81005859;1220.71997070;1240.00000000;245306000
2017-03-15;00:00:00;1240.16003418;1251.60998535;1239.75000000;1249.60998535;297804992
2017-03-16;00:00:00;1251.32995605;1257.97998047;1152.43994141;1187.81005859;638568000
2017-03-17;00:00:00;1180.16003418;1180.16003418;1099.56994629;1100.22998047;706598976
2017-03-18;00:00:00;1099.68994141;1114.06994629;957.65502930;973.81799316;621302016
2017-03-19;00:00:00;976.72998047;1069.91003418;976.72998047;1036.73999023;406648000
2017-03-20;00:00:00;1037.23999023;1063.03002930;1036.68005371;1054.22998047;286529984
2017-03-21;00:00:00;1055.35998535;1122.43005371;1055.35998535;1120.54003906;337391008
2017-03-22;00:00:00;1120.65002441;1120.65002441;1014.21002197;1049.14001465;380840992
2017-03-23;00:00:00;1050.05004883;1058.01000977;1028.93005371;1038.58996582;248540000
2017-03-24;00:00:00;1038.44995117;1040.46997070;934.35797119;937.52001953;491038016
2017-03-25;00:00:00;936.53997803;975.76098633;903.71301270;972.77899170;435803008
2017-03-26;00:00:00;974.01501465;1007.96002197;954.18597412;966.72497559;303668000
2017-03-27;00:00:00;972.05499268;1046.40002441;971.98400879;1045.77001953;372535008
2017-03-28;00:00:00;1044.57995605;1064.65002441;1027.72998047;1047.15002441;326332000
2017-03-29;00:00:00;1046.07995605;1055.13000488;1015.88000488;1039.96997070;298457984
2017-03-30;00:00:00;1042.20996094;1049.29003906;1020.03997803;1026.43005371;352968992
2017-03-31;00:00:00;1026.64001465;1074.92004395;1026.64001465;1071.79003906;447287008
2017-04-01;00:00:00;1071.70996094;1091.71997070;1061.08996582;1080.50000000;289633984
2017-04-02;00:00:00;1080.60998535;1107.58996582;1075.44995117;1102.17004395;514187008
2017-04-03;00:00:00;1102.94995117;1151.73999023;1102.94995117;1143.81005859;580444032
2017-04-04;00:00:00;1145.52001953;1156.43994141;1120.52001953;1133.25000000;436310016
2017-04-05;00:00:00;1134.14001465;1135.08996582;1113.63000488;1124.78002930;414784000
2017-04-06;00:00:00;1125.81005859;1188.36999512;1125.81005859;1182.68005371;511222016
2017-04-07;00:00:00;1178.93994141;1186.57995605;1163.39001465;1176.90002441;317022016
2017-04-08;00:00:00;1172.65002441;1184.97998047;1162.57995605;1175.94995117;209312000
2017-04-09;00:00:00;1176.56994629;1197.20996094;1171.85998535;1187.86999512;242343008
2017-04-10;00:00:00;1187.30004883;1190.33996582;1179.04003906;1187.13000488;215883008
2017-04-11;00:00:00;1187.45996094;1208.06994629;1187.45996094;1205.01000977;216182000
2017-04-12;00:00:00;1204.81005859;1207.14001465;1196.76000977;1200.36999512;288702016
2017-04-13;00:00:00;1201.02001953;1205.89001465;1156.43994141;1169.28002930;351968992
