Periodo;StartPrice;EndPrice;ATR (14);Mean Price;Volatility;ER Medio;Min Price;Max Price
P1;"Ticker
BTC-USD    998.325012
Name: 2017-01-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    14156.400391
Name: 2017-12-31 00:00:00+00:00, dtype: float64";;3978,1976182075396;1695,2576444378835;1930,8785574776787;755,7559814453125;20089,0
P2;"Ticker
BTC-USD    13657.200195
Name: 2018-01-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    3742.700439
Name: 2018-12-31 00:00:00+00:00, dtype: float64";;7569,363453820633;143,56124672401393;229,40408761160714;3191,303466796875;17712,400390625
P3;"Ticker
BTC-USD    3843.52002
Name: 2019-01-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    10619.452148
Name: 2020-10-01 00:00:00+00:00, dtype: float64";;8160,0060012817385;214,456805176409;282,91141183035717;3391,023681640625;13796,4892578125
P4;"Ticker
BTC-USD    10619.452148
Name: 2020-10-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    59095.808594
Name: 2021-04-01 00:00:00+00:00, dtype: float64";;30843,001203359803;2384,5826110271682;2680,1194196428573;10416,689453125;61683,86328125
P5;"Ticker
BTC-USD    59095.808594
Name: 2021-04-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    33572.117188
Name: 2021-07-01 00:00:00+00:00, dtype: float64";;46339,05109969429;1544,002438909391;2761,0407366071427;28893,62109375;64863,09765625
P6;"Ticker
BTC-USD    33572.117188
Name: 2021-07-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    48116.941406
Name: 2021-10-01 00:00:00+00:00, dtype: float64";;41919,7102234543;2480,9344642165497;2767,4977678571427;29360,955078125;52853,765625
P7;"Ticker
BTC-USD    48116.941406
Name: 2021-10-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    29799.080078
Name: 2022-06-01 00:00:00+00:00, dtype: float64";;45546,863073130124;962,1753279821728;1304,0166015625;26350,490234375;68789,625
P8;"Ticker
BTC-USD    29799.080078
Name: 2022-06-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    27983.75
Name: 2023-10-01 00:00:00+00:00, dtype: float64";;23713,623449106686;480,4065698048649;575,8263113839286;15599,046875;31957,28515625
P9;"Ticker
BTC-USD    27983.75
Name: 2023-10-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    62440.632812
Name: 2024-03-01 00:00:00+00:00, dtype: float64";;40260,31018944036;4406,3796673687575;2193,133370535714;26558,3203125;63913,1328125
P10;"Ticker
BTC-USD    62440.632812
Name: 2024-03-01 00:00:00+00:00, dtype: float64";"Ticker
BTC-USD    60837.007812
Name: 2024-10-01 00:00:00+00:00, dtype: float64";;63896,279296875;1502,7475500062146;1967,7045200892858;49121,23828125;73750,0703125
